timestamp,hour,wind speed,wind direction,friction velocity,wind speed_10 m,wind direction_10 m
20200419,23,0.7,247.0,0.9732966590990181,1.0186569392751215,247.0
20200420,0,0.4,214.0,0.5561695194851534,0.5820896795857838,214.0
20200420,1,0.5,161.0,0.6952118993564416,0.7276120994822297,161.0
20200420,2,1.0,149.0,1.3904237987128831,1.4552241989644594,149.0
20200420,3,1.5,149.0,2.085635698069325,2.182836298446689,149.0
20200420,4,1.8,147.0,2.50276283768319,2.6194035581360273,147.0
20200420,5,2.0,143.0,2.7808475974257663,2.910448397928919,143.0
20200420,6,2.1,138.0,2.919889977297055,3.055970817825365,138.0
20200420,7,2.2,132.0,3.0589323571683433,3.2014932377218113,132.0
20200420,8,2.3,128.0,3.197974737039631,3.3470156576182566,128.0
20200420,9,2.4,125.0,3.3370171169109195,3.492538077514703,125.0
20200420,10,2.4,120.0,3.3370171169109195,3.492538077514703,120.0
20200420,11,2.5,116.0,3.476059496782208,3.6380604974111486,116.0
20200420,12,2.7,114.0,3.7541442565247847,3.929105337204041,114.0
20200420,13,2.9,112.0,4.032229016267361,4.220150176996932,112.0
20200420,14,3.1,111.0,4.310313776009939,4.5111950167898245,111.0
20200420,15,3.2,109.0,4.449356155881227,4.656717436686271,109.0
20200420,16,3.2,109.0,4.449356155881227,4.656717436686271,109.0
20200420,17,3.2,111.0,4.449356155881227,4.656717436686271,111.0
20200420,18,3.1,113.0,4.310313776009939,4.5111950167898245,113.0
20200420,19,3.0,113.0,4.17127139613865,4.365672596893378,113.0
20200420,20,2.9,112.0,4.032229016267361,4.220150176996932,112.0
20200420,21,2.9,110.0,4.032229016267361,4.220150176996932,110.0
20200420,22,2.9,108.0,4.032229016267361,4.220150176996932,108.0
20200420,23,3.3,105.0,4.588398535752515,4.802239856582716,105.0
20200421,0,3.5,101.0,4.866483295495091,5.093284696375608,101.0
20200421,1,3.7,97.0,5.144568055237668,5.3843295361685,97.0
20200421,2,3.8,95.0,5.283610435108956,5.529851956064946,95.0
20200421,3,3.8,94.0,5.283610435108956,5.529851956064946,94.0
20200421,4,3.7,94.0,5.144568055237668,5.3843295361685,94.0
20200421,5,3.7,96.0,5.144568055237668,5.3843295361685,96.0
20200421,6,3.7,98.0,5.144568055237668,5.3843295361685,98.0
20200421,7,3.8,100.0,5.283610435108956,5.529851956064946,100.0
20200421,8,3.8,102.0,5.283610435108956,5.529851956064946,102.0
20200421,9,3.8,104.0,5.283610435108956,5.529851956064946,104.0
20200421,10,3.7,105.0,5.144568055237668,5.3843295361685,105.0
20200421,11,3.7,105.0,5.144568055237668,5.3843295361685,105.0
20200421,12,3.8,106.0,5.283610435108956,5.529851956064946,106.0
20200421,13,3.9,107.0,5.422652814980244,5.6753743759613915,107.0
20200421,14,4.0,107.0,5.5616951948515325,5.820896795857838,107.0
20200421,15,4.0,107.0,5.5616951948515325,5.820896795857838,107.0
20200421,16,3.8,108.0,5.283610435108956,5.529851956064946,108.0
20200421,17,3.8,109.0,5.283610435108956,5.529851956064946,109.0
20200421,18,3.9,112.0,5.422652814980244,5.6753743759613915,112.0
20200421,19,4.1,115.0,5.700737574722821,5.966419215754283,115.0
20200421,20,4.2,116.0,5.83977995459411,6.11194163565073,116.0
20200421,21,4.4,116.0,6.117864714336687,6.4029864754436225,116.0
20200421,22,4.4,117.0,6.117864714336687,6.4029864754436225,117.0
20200421,23,4.7,119.0,6.534991853950551,6.839553735132959,119.0
20200422,0,4.9,120.0,6.813076613693128,7.130598574925852,120.0
20200422,1,4.9,120.0,6.813076613693128,7.130598574925852,120.0
20200422,2,4.8,120.0,6.674034233821839,6.985076155029406,120.0
20200422,3,4.7,118.0,6.534991853950551,6.839553735132959,118.0
20200422,4,4.5,116.0,6.256907094207975,6.548508895340068,116.0
20200422,5,4.3,114.0,5.978822334465398,6.257464055547175,114.0
20200422,6,4.1,113.0,5.700737574722821,5.966419215754283,113.0
20200422,7,3.9,113.0,5.422652814980244,5.6753743759613915,113.0
20200422,8,3.8,115.0,5.283610435108956,5.529851956064946,115.0
20200422,9,3.8,118.0,5.283610435108956,5.529851956064946,118.0
20200422,10,4.1,122.0,5.700737574722821,5.966419215754283,122.0
20200422,11,4.5,123.0,6.256907094207975,6.548508895340068,123.0
20200422,12,5.0,124.0,6.952118993564416,7.276120994822297,124.0
20200422,13,5.3,124.0,7.369246133178281,7.712688254511635,124.0
